7.49720224220476E+017,realDonaldTrump,"The SECRET meeting between Bill Clinton and the U.S.A.G. in back of closed plane was heightened with FBI shouting ""go away, no pictures.""",False,,2016-07-03T21:43:25,,,,False,en,8277,22449,,,,,,,,,,,,http://twitter.com/download/android,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,,
7.4971894797353E+017,realDonaldTrump,"Does anybody really believe that Bill Clinton and the U.S.A.G. talked only about ""grandkids"" and golf for 37 minutes in plane on tarmac?",False,,2016-07-03T21:38:20,,,,False,en,7824,22249,,,,,,,,,,,,http://twitter.com/download/android,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,,
7.49709462974435E+017,realDonaldTrump,"""THE SYSTEM IS RIGGED!""",False,,2016-07-03T21:00:39,,,,False,en,10041,24741,,,,,,,,,,,,http://twitter.com/download/android,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,,
7.49706242579247E+017,realDonaldTrump,"On Saturday a great man, Elie Wiesel, passed away.The world is a better place because of him and his belief that good can triumph over evil!",False,,2016-07-03T20:47:51,,,,False,en,5649,21317,,,,,,,,,,,,http://twitter.com/download/android,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,,
7.49701475350286E+017,HillaryClinton,Today's attack in Baghdad is another horrific example of ISIS's savagery. We will defeat them. My prayers are with the victims' families. -H,False,,2016-07-03T20:28:55,,,,False,en,2445,7892,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,,
7.49699315367612E+017,realDonaldTrump,Crooked Hillary Clinton knew that her husband wanted to meet with the U.S.A.G. to work out a deal. The system is totally rigged &amp, corrupt!,False,,2016-07-03T20:20:20,,,,False,en,8802,24592,,,,,,,,,,,,http://twitter.com/download/android,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,
7.4969832107418E+017,realDonaldTrump,Only a fool would believe that the meeting between Bill Clinton and the U.S.A.G. was not arranged or that Crooked Hillary did not know.,False,,2016-07-03T20:16:23,,,,False,en,9448,27233,,,,,,,,,,,,http://twitter.com/download/android,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,,
7.49680542568722E+017,HillaryClinton,"Every American should have the opportunity to live up to their God-given potential.
https://t.co/GR4c76ouEn",False,,2016-07-03T19:05:44,,,,False,en,2180,5483,,,,,,,,,,,,http://twitter.com,False,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'amp.twimg.com/v/90f972f2-68e…', 'expanded_url': 'https://amp.twimg.com/v/90f972f2-68e4-43d8-a2a5-e071cd3149c8', 'indices': [84, 107], 'url': 'https://t.co/GR4c76ouEn'}], 'hashtags': []}",,,
7.496591733533E+017,realDonaldTrump,"Just watched @meetthepress and how totally biased against me Chuck Todd, and the entire show, is against me.The good news-the people get it!",False,,2016-07-03T17:40:49,,,,False,en,5852,20152,,,,,,,,,,,,http://twitter.com/download/android,False,"{'user_mentions': [{'id_str': '11856892', 'name': 'Meet the Press', 'id': 11856892, 'screen_name': 'MeetThePress', 'indices': [13, 26]}], 'symbols': [], 'urls': [], 'hashtags': []}",,,
7.49419180097696E+017,HillaryClinton,"""We join all those around the world in mourning his loss"" —Hillary and @BillClinton on the passing of Elie Wiesel https://t.co/HNVH0LlWpr",False,,2016-07-03T01:47:10,,,,False,en,2571,7989,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'media': [{'display_url': 'pic.twitter.com/HNVH0LlWpr', 'expanded_url': 'http://twitter.com/HillaryClinton/status/749419180097695744/photo/1', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'small': {'h': 680, 'resize': 'fit', 'w': 493}, 'large': {'h': 965, 'resize': 'fit', 'w': 700}, 'medium': {'h': 965, 'resize': 'fit', 'w': 700}}, 'id_str': '749419171033837569', 'indices': [114, 137], 'id': 749419171033837569, 'url': 'https://t.co/HNVH0LlWpr', 'media_url_https': 'https://pbs.twimg.com/media/CmZ4w_VW8AEb-Hn.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CmZ4w_VW8AEb-Hn.jpg'}], 'user_mentions': [{'id_str': '1330457336', 'name': 'Bill Clinton', 'id': 1330457336, 'screen_name': 'billclinton', 'indices': [71, 83]}], 'symbols': [], 'urls': [], 'hashtags': []}","{'media': [{'display_url': 'pic.twitter.com/HNVH0LlWpr', 'expanded_url': 'http://twitter.com/HillaryClinton/status/749419180097695744/photo/1', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'small': {'h': 680, 'resize': 'fit', 'w': 493}, 'large': {'h': 965, 'resize': 'fit', 'w': 700}, 'medium': {'h': 965, 'resize': 'fit', 'w': 700}}, 'id_str': '749419171033837569', 'indices': [114, 137], 'id': 749419171033837569, 'url': 'https://t.co/HNVH0LlWpr', 'media_url_https': 'https://pbs.twimg.com/media/CmZ4w_VW8AEb-Hn.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CmZ4w_VW8AEb-Hn.jpg'}]}",,
